Customer,ST,GENDER,Education,Customer Lifetime Value,Income,Monthly Premium Auto,Number of Open Complaints,Policy Type,Total Claim Amount,Vehicle Class
EW16697,Arizona,F,High School or Below,2552.00081,50201,64,0,Personal Auto,99.894584,Two-Door Car
HI60054,California,F,Bachelor,9404.447425,51593,80,2,Personal Auto,202.905809,Two-Door Car
MU57098,Oregon,F,Bachelor,5678.050167,0,76,0,Personal Auto,364.8,Four-Door Car
WB21698,California,F,High School or Below,3723.114445,31974,92,0,Personal Auto,388.135527,Four-Door Car
MU75490,Oregon,M,Bachelor,8417.102804,31756,107,0,Corporate Auto,415.850776,SUV
UA44429,California,F,College,2520.028421,0,68,0,Personal Auto,326.4,Four-Door Car
PP64004,Nevada,F,Bachelor,8186.308757,20369,105,0,Personal Auto,1126.65778,SUV
FI77477,Washington,M,College,4229.923123,0,126,0,Personal Auto,907.2,SUV
NT40494,California,F,High School or Below,5074.246068,66933,63,0,Personal Auto,160.52105,Four-Door Car
YM98727,California,F,High School or Below,12981.52926,39843,109,1,Personal Auto,523.2,Four-Door Car
NT77164,Arizona,M,Doctor,2744.172816,16686,71,0,Personal Auto,125.510669,Four-Door Car
IL91509,Oregon,F,Bachelor,13226.22345,0,190,1,Special Auto,1398.023248,Luxury Car
PS47550,California,F,High School or Below,13178.43163,80237,108,0,Personal Auto,776.601764,SUV
PK66498,California,M,High School or Below,8793.521303,72897,73,0,Personal Auto,507.709291,Two-Door Car
NG93751,California,M,Bachelor,3245.332058,46435,82,0,Corporate Auto,350.325879,Two-Door Car
KL84615,Arizona,M,High School or Below,4624.622593,0,68,2,Personal Auto,469.278843,Four-Door Car
AP27994,Oregon,F,High School or Below,4372.490855,23124,112,0,Special Auto,537.6,Sports Car
TP20456,Arizona,M,High School or Below,9090.269181,45310,229,0,Personal Auto,1550.375183,Luxury SUV
OB21477,Oregon,M,College,10777.56762,53437,91,0,Personal Auto,436.8,Two-Door Car
LH80781,Washington,F,College,5007.224298,0,73,1,Personal Auto,655.791955,Four-Door Car
UU70820,Arizona,F,College,5867.12642,27880,74,0,Personal Auto,199.444294,Four-Door Car
ER66372,California,F,Bachelor,14914.53488,45963,63,2,Personal Auto,302.4,Four-Door Car
XD81935,Oregon,F,Bachelor,5107.163002,35625,65,1,Personal Auto,288.572108,Four-Door Car
AT30076,Nevada,F,High School or Below,3536.64749,31727,92,0,Personal Auto,495.750669,Four-Door Car
EW34576,Arizona,F,High School or Below,2839.796453,53071,72,0,Corporate Auto,386.225897,Four-Door Car
XC14741,California,M,High School or Below,2939.939038,97735,73,0,Corporate Auto,188.667196,Four-Door Car
PG84165,California,M,High School or Below,2776.629135,0,77,0,Personal Auto,554.4,Four-Door Car
CN16311,Oregon,F,Master,5476.527832,52218,68,0,Corporate Auto,33.781673,Four-Door Car
TZ19823,California,F,Bachelor,3265.156348,25820,82,0,Personal Auto,393.6,Four-Door Car
NC34154,California,F,High School or Below,8066.073765,17950,71,2,Special Auto,340.8,Two-Door Car
LQ50657,Arizona,F,High School or Below,3644.833554,82477,90,0,Personal Auto,432,Two-Door Car
JL16084,Arizona,F,College,6611.118163,0,95,0,Personal Auto,564.302867,Four-Door Car
CJ81391,Oregon,M,College,7582.113842,64801,64,0,Personal Auto,268.471802,Four-Door Car
WQ89892,Washington,F,College,2607.81554,0,70,1,Special Auto,336,Two-Door Car
JW70372,Arizona,F,Doctor,7124.202899,61233,89,2,Personal Auto,181.287697,Four-Door Car
AW17574,Nevada,F,Bachelor,9435.540893,0,129,0,Corporate Auto,628.366119,SUV
GL66847,Arizona,F,Bachelor,8256.2978,62902,69,0,Personal Auto,159.383042,Two-Door Car
DC62428,Arizona,M,High School or Below,5091.101225,20244,65,0,Personal Auto,312,Four-Door Car
KR54589,California,F,High School or Below,5881.813596,86812,73,0,Personal Auto,45.472477,Four-Door Car
BC47264,California,F,College,7684.887717,62192,98,0,Special Auto,243.292609,Two-Door Car
SN58128,Oregon,F,College,10396.53186,34948,130,0,Personal Auto,443.786437,SUV
TD97297,Oregon,M,Bachelor,8545.608946,35456,109,0,Personal Auto,505.082702,Sports Car
TK13024,Oregon,M,College,4408.071476,80640,111,0,Personal Auto,313.270725,SUV
LR97507,Arizona,M,High School or Below,2562.843896,0,74,0,Corporate Auto,663.423782,Four-Door Car
KC14861,Oregon,M,High School or Below,14886.70602,91193,185,1,Personal Auto,1.587888,Luxury SUV
DC37886,Arizona,F,High School or Below,24338.51185,73692,67,0,Personal Auto,24.843535,Two-Door Car
SP56326,Arizona,F,High School or Below,7452.998789,12195,101,0,Personal Auto,670.581817,Four-Door Car
OQ99704,Washington,F,Bachelor,3981.775889,52801,100,0,Personal Auto,475.20088,SUV
GQ92754,Nevada,M,College,16060.06949,0,87,0,Personal Auto,417.6,Four-Door Car
DX28320,California,F,High School or Below,5111.357987,0,72,2,Personal Auto,594.683752,Four-Door Car
BM83544,Arizona,F,Bachelor,7439.978924,0,108,0,Personal Auto,518.4,SUV
YB96664,Washington,M,Bachelor,4974.801539,75644,65,3,Corporate Auto,467.803638,Two-Door Car
RO90746,California,F,High School or Below,17816.68242,60192,220,0,Personal Auto,1056,Luxury Car
UV46349,Oregon,F,Bachelor,6238.054416,0,90,2,Personal Auto,134.442783,Four-Door Car
MY32188,Oregon,M,Bachelor,2682.912454,0,74,0,Corporate Auto,355.2,Two-Door Car
OV87950,California,M,College,2837.163399,29242,73,0,Personal Auto,350.4,Two-Door Car
ZG82132,Oregon,F,Bachelor,4118.588554,69379,103,0,Personal Auto,494.4,Two-Door Car
LZ31103,Oregon,F,College,2472.469209,63860,62,0,Personal Auto,208.598246,Four-Door Car
HO79663,Arizona,F,Doctor,4139.533158,45281,104,1,Personal Auto,65.03063,Sports Car
RS57109,Arizona,F,Bachelor,4100.465956,51193,104,2,Personal Auto,97.313649,Two-Door Car
NA21420,Oregon,F,Bachelor,5278.201394,62074,67,0,Corporate Auto,49.435556,Four-Door Car
MY98825,California,F,Bachelor,8056.898119,64304,68,0,Corporate Auto,65.471028,Two-Door Car
VW73816,Oregon,M,Bachelor,9185.025301,73795,116,1,Personal Auto,501.716934,SUV
FN66189,Oregon,F,College,15417.73444,84376,96,0,Personal Auto,43.578516,Four-Door Car
HU75748,Arizona,F,High School or Below,6829.413399,0,66,1,Personal Auto,470.691875,Two-Door Car
OS11465,Oregon,M,High School or Below,8500.909417,79153,106,0,Special Auto,508.8,SUV
UY61913,Oregon,M,College,8847.444221,17950,118,0,Personal Auto,425.489592,SUV
OD70577,Arizona,F,College,2840.899849,0,80,1,Personal Auto,962.526106,Two-Door Car
DC91024,Oregon,M,Bachelor,15984.52739,0,69,0,Personal Auto,331.2,Two-Door Car
VQ67172,Oregon,F,College,18542.30074,0,72,0,Corporate Auto,622.992063,Four-Door Car
MF23895,Arizona,F,College,2609.829612,58139,65,1,Corporate Auto,33.171413,Four-Door Car
AA10041,California,M,High School or Below,7901.744238,0,113,0,Personal Auto,1258.327804,SUV
DV36320,California,F,High School or Below,17995.86532,80991,223,0,Personal Auto,937.327881,Luxury SUV
UE72026,California,F,College,5021.686245,69678,126,0,Personal Auto,306.818754,Sports Car
SE78641,Arizona,M,Bachelor,4654.841089,0,67,0,Personal Auto,577.385463,Two-Door Car
YC69616,Arizona,F,College,2719.506996,14030,72,0,Personal Auto,345.6,Two-Door Car
SM10254,Oregon,F,Bachelor,4726.869327,13037,124,0,Personal Auto,839.348464,SUV
AG45299,California,M,College,8595.726399,76763,108,0,Personal Auto,186.459607,SUV
KS45476,Washington,F,High School or Below,15626.28021,50461,131,0,Personal Auto,810.06514,Sports Car
No69427,California,M,High School or Below,2797.674845,69604,70,0,Corporate Auto,112.336604,Four-Door Car
BA52133,California,M,Master,5344.989624,22908,68,0,Personal Auto,387.774781,Four-Door Car
WT59944,California,F,College,17557.54051,68273,146,0,Personal Auto,76.475359,Sports Car
XV30885,California,M,College,4595.524548,95550,116,1,Personal Auto,381.570261,SUV
LU79865,Nevada,M,Bachelor,5794.104234,88370,74,1,Personal Auto,355.2,Four-Door Car
BL29046,Oregon,F,Doctor,5332.462694,68931,66,0,Corporate Auto,309.577946,Four-Door Car
AM34581,Oregon,F,Bachelor,6680.146801,24432,87,3,Corporate Auto,71.10847,Two-Door Car
YN75239,Oregon,M,College,7910.866718,77577,199,1,Personal Auto,35.768916,Luxury SUV
OJ84485,California,M,High School or Below,12516.92188,12607,110,0,Personal Auto,528,SUV
JA12995,Oregon,F,College,2325.259483,0,63,0,Personal Auto,302.4,Four-Door Car
OD85990,Oregon,F,Bachelor,3964.151263,23474,102,0,Corporate Auto,489.6,SUV
NZ57264,California,M,Bachelor,7486.088015,0,113,0,Personal Auto,813.6,SUV
OL39995,Oregon,M,Bachelor,6707.994148,0,65,0,Personal Auto,360.480689,Four-Door Car
LK51620,California,M,High School or Below,12902.09322,98478,106,0,Corporate Auto,508.8,Four-Door Car
ZB91993,Arizona,M,College,5926.729379,23091,96,5,Personal Auto,460.8,Four-Door Car
SZ60342,Arizona,M,College,5148.653203,51071,65,0,Personal Auto,312,Two-Door Car
WE80653,Oregon,F,Bachelor,6827.178202,0,103,2,Personal Auto,2.455033,SUV
EE28119,Arizona,F,Bachelor,4670.058282,69921,118,2,Personal Auto,373.227044,Two-Door Car
GA49547,Washington,M,High School or Below,5363.076547,36357,68,0,Personal Auto,17.269323,Four-Door Car
BA92673,Oregon,F,High School or Below,6961.945557,0,63,0,Personal Auto,40.622304,Four-Door Car
PT70350,Oregon,M,High School or Below,28511.03331,27607,104,0,Corporate Auto,640.584145,Four-Door Car
KL29678,Oregon,F,Master,8624.917663,43610,106,0,Personal Auto,508.8,Sports Car
HL84679,Oregon,F,Bachelor,3382.223536,0,91,0,Personal Auto,436.8,Four-Door Car
GH94657,California,M,Bachelor,2319.818549,14660,61,0,Personal Auto,396.608751,Four-Door Car
EZ71780,Arizona,F,High School or Below,8807.486831,26864,78,0,Special Auto,374.4,Four-Door Car
BW76745,Oregon,M,Doctor,2491.317024,36631,62,0,Personal Auto,67.530904,Four-Door Car
TN64240,California,F,Bachelor,7853.961409,42582,99,0,Corporate Auto,629.344642,Four-Door Car
AE23906,Arizona,M,College,9816.528302,37256,62,0,Personal Auto,128.969729,Four-Door Car
CX20455,Arizona,M,College,22103.5072,0,102,0,Corporate Auto,489.6,SUV
KX18446,Washington,M,High School or Below,6689.022728,56980,84,0,Corporate Auto,599.000883,Two-Door Car
NR66922,Oregon,M,Master,11323.35555,98254,94,3,Corporate Auto,229.711908,Four-Door Car
PQ27923,Washington,M,Master,6333.030812,71737,79,0,Personal Auto,338.79562,Two-Door Car
No81415,Arizona,M,Bachelor,3139.169353,31177,79,0,Personal Auto,905.699717,Four-Door Car
OI48534,California,F,High School or Below,2617.182661,98338,65,0,Personal Auto,35.597288,Four-Door Car
FH83537,California,F,High School or Below,3732.568536,0,106,0,Personal Auto,879.42749,Sports Car
VH94792,California,F,Bachelor,4433.694028,0,65,0,Special Auto,312,Four-Door Car
VD37089,Washington,M,College,3478.887023,29938,90,0,Corporate Auto,562.426585,Four-Door Car
UW68708,California,F,Bachelor,5009.595291,0,69,0,Personal Auto,496.8,Four-Door Car
PV39600,California,M,Bachelor,8417.004401,24285,111,0,Personal Auto,1257.527908,Two-Door Car
ZD42919,California,M,Master,4483.839044,32983,113,0,Personal Auto,466.81627,SUV
ZX68434,California,F,Doctor,5124.984391,0,134,0,Personal Auto,643.2,SUV
CH81088,Oregon,F,Bachelor,3721.057118,71333,93,0,Personal Auto,343.755209,Four-Door Car
SV68939,Arizona,F,Master,9988.787618,33157,124,0,Personal Auto,286.003968,SUV
WI81695,Oregon,F,College,3342.177957,0,91,0,Personal Auto,436.8,Four-Door Car
OU50429,California,M,Bachelor,7524.735746,36580,64,1,Personal Auto,460.8,Four-Door Car
TE44937,Oregon,F,High School or Below,13466.92071,11432,119,0,Personal Auto,571.2,SUV
GC29421,California,F,High School or Below,2949.282616,78596,73,0,Personal Auto,106.267659,Four-Door Car
RF71693,Arizona,F,Bachelor,5179.890955,35143,65,0,Corporate Auto,171.184016,Four-Door Car
JZ22920,Arizona,M,Master,3225.395988,29606,81,0,Personal Auto,438.276898,Four-Door Car
ZL68596,Arizona,M,Master,8849.689719,53228,73,0,Special Auto,137.195447,Four-Door Car
GV91160,Oregon,F,High School or Below,2886.451602,10312,78,0,Personal Auto,486.278557,Four-Door Car
PC80039,Oregon,F,Bachelor,2359.423599,19864,63,0,Personal Auto,352.394515,Four-Door Car
RH72839,Nevada,F,High School or Below,4669.22664,76157,116,0,Personal Auto,556.8,Two-Door Car
SV15363,California,M,High School or Below,6366.225775,44368,80,0,Personal Auto,384,Two-Door Car
CN17219,Oregon,M,College,25581.61014,27961,72,0,Personal Auto,345.6,Two-Door Car
ZM84839,California,F,College,8146.271602,92777,68,2,Personal Auto,158.041549,Two-Door Car
ZO31878,Oregon,F,Master,5412.458621,55992,67,0,Personal Auto,191.409775,Four-Door Car
BU70181,Arizona,M,Master,5757.442258,88997,72,0,Personal Auto,174.041566,Four-Door Car
RN20799,Arizona,F,High School or Below,4755.194923,21926,63,0,Personal Auto,302.4,Four-Door Car
VF58561,Oregon,F,Bachelor,4995.211519,82413,62,0,Personal Auto,297.6,Four-Door Car
HU26687,California,M,Bachelor,2824.849967,48008,73,4,Personal Auto,137.081716,Four-Door Car
VT84289,California,F,College,5907.91176,87796,74,0,Personal Auto,355.2,Four-Door Car
ZG17326,Oregon,M,Bachelor,4988.579794,38928,64,0,Personal Auto,326.660051,Four-Door Car
ZR84007,Arizona,M,Bachelor,7405.265785,58779,64,1,Personal Auto,307.2,Four-Door Car
WM17695,Washington,F,Doctor,16553.23422,98912,135,0,Personal Auto,714.831947,SUV
YR76491,Oregon,F,College,15102.22866,0,137,0,Personal Auto,32.978158,SUV
NY93341,Arizona,F,High School or Below,9118.928908,33882,114,0,Personal Auto,272.835064,SUV
BC87161,Oregon,M,Bachelor,2759.978287,92296,69,0,Personal Auto,331.2,Two-Door Car
PW23851,Oregon,F,Bachelor,15251.57924,63287,127,0,Personal Auto,617.202619,SUV
UM73815,Arizona,F,High School or Below,14517.43681,74871,178,0,Personal Auto,854.4,SUV
HW19506,Arizona,F,High School or Below,5597.12496,37995,139,0,Personal Auto,667.2,SUV
JF90784,California,F,High School or Below,19323.23675,0,139,1,Personal Auto,1389.140121,SUV
OW15518,Washington,F,College,15950.01951,0,87,1,Personal Auto,46.041452,Two-Door Car
BR28896,Nevada,M,High School or Below,3176.356488,64706,81,0,Personal Auto,372.909686,Two-Door Car
PD32943,Oregon,M,Bachelor,4526.126785,0,64,1,Personal Auto,307.2,Four-Door Car
GM83516,Arizona,M,College,2573.716859,29500,67,0,Corporate Auto,321.6,Four-Door Car
BK15048,Arizona,M,College,6656.709233,0,69,1,Personal Auto,496.8,Four-Door Car
RA27021,Nevada,F,Bachelor,27564.73951,26410,91,0,Corporate Auto,184.516188,Four-Door Car
JW15941,California,M,Master,3842.794699,97832,95,0,Personal Auto,107.661239,Two-Door Car
GP20408,Oregon,F,College,3808.122147,94903,94,0,Personal Auto,451.2,Two-Door Car
AM57175,Oregon,F,High School or Below,15000.84238,62473,76,1,Personal Auto,507.560729,Four-Door Car
RI40862,Nevada,M,College,5573.10605,85704,69,0,Personal Auto,325.395532,Four-Door Car
EY86980,Oregon,M,Bachelor,6222.212108,74270,78,0,Corporate Auto,122.486486,Two-Door Car
FG24850,Oregon,F,Master,5096.673223,22886,65,0,Personal Auto,312,Four-Door Car
JB39997,California,F,College,6183.185785,36464,78,0,Personal Auto,93.515817,Four-Door Car
CG43444,California,F,Bachelor,9388.981905,33599,80,0,Personal Auto,111.265486,Four-Door Car
ZG69918,Oregon,M,College,8168.714346,20819,73,1,Special Auto,206.863422,Four-Door Car
GM70734,California,F,College,13561.2048,29095,91,1,Corporate Auto,280.800938,Two-Door Car
PM14429,California,M,College,6699.278956,30852,88,0,Personal Auto,318.866388,Four-Door Car
FD55376,California,M,High School or Below,20230.9675,48448,74,1,Corporate Auto,355.2,Four-Door Car
PS25185,Washington,F,Bachelor,4097.371676,20079,110,0,Corporate Auto,528,Two-Door Car
YE70791,California,M,High School or Below,5169.49937,12430,73,0,Personal Auto,350.4,Four-Door Car
UN52560,Arizona,M,Bachelor,6278.764007,47669,80,0,Personal Auto,384,Four-Door Car
SS95187,Arizona,M,Bachelor,3343.933131,40794,87,0,Personal Auto,334.452807,Four-Door Car
OU62959,California,M,Bachelor,15531.78589,95340,198,2,Personal Auto,808.844338,Luxury SUV
ZV36800,Oregon,M,Bachelor,4236.84292,14476,113,0,Corporate Auto,542.4,Sports Car
XF83901,Arizona,F,College,3692.583567,0,105,0,Personal Auto,756,Four-Door Car
RE12758,California,M,High School or Below,6782.556454,26116,85,0,Personal Auto,612,Four-Door Car
CH97666,California,M,Bachelor,3683.472334,12454,100,0,Personal Auto,720,Sports Car
NU25698,Oregon,F,High School or Below,13995.68999,48245,121,3,Personal Auto,580.8,SUV
ZV80216,Oregon,M,High School or Below,5619.689084,0,153,0,Personal Auto,1027.000029,SUV
PB47955,Oregon,F,Bachelor,8331.648336,0,119,0,Personal Auto,856.8,SUV
BD36887,Nevada,F,College,4171.18715,37478,105,0,Personal Auto,653.685468,Sports Car
JG65202,Oregon,M,High School or Below,7873.567332,0,74,0,Personal Auto,568.798455,Two-Door Car
YV76240,Oregon,F,College,10677.25385,45732,134,0,Corporate Auto,611.918994,SUV
LN28900,California,M,Bachelor,14687.07959,0,85,0,Personal Auto,612,Four-Door Car
IN77241,Washington,M,Bachelor,5394.703229,65978,67,0,Corporate Auto,251.795869,Two-Door Car
DI42246,Arizona,M,College,2230.755716,0,62,0,Personal Auto,325.88607,Four-Door Car
SE86346,Nevada,F,College,7771.018055,58467,65,0,Corporate Auto,452.915621,Four-Door Car
FK46365,Washington,F,College,4103.849192,82427,102,0,Personal Auto,489.6,SUV
XW93623,Nevada,M,Bachelor,7221.151702,33811,184,0,Personal Auto,587.37679,Luxury SUV
FJ62579,Oregon,M,High School or Below,12285.0473,0,183,2,Personal Auto,878.4,Luxury SUV
ZZ22193,California,F,Master,5704.679894,37675,71,0,Personal Auto,380.919824,Four-Door Car
ZY77695,Arizona,M,Bachelor,2433.913419,0,72,0,Personal Auto,345.6,Two-Door Car
ZJ65064,California,F,College,4921.752296,0,70,0,Personal Auto,336,Four-Door Car
FA59186,California,M,High School or Below,4660.006868,0,67,0,Personal Auto,482.4,Two-Door Car
XS74336,Washington,F,High School or Below,2541.522907,0,71,0,Personal Auto,511.2,Four-Door Car
RT80802,Nevada,M,College,11658.59927,19851,102,0,Personal Auto,220.038588,Sports Car
KN65809,Washington,F,High School or Below,11131.56637,0,99,0,Personal Auto,475.2,Four-Door Car
QF17381,Arizona,F,Bachelor,4733.507343,0,62,0,Corporate Auto,740.838216,Four-Door Car
JF16897,Oregon,F,High School or Below,8776.363448,28360,73,0,Personal Auto,863.909989,Four-Door Car
PB90912,California,M,High School or Below,7804.022473,70833,193,0,Personal Auto,926.4,Luxury SUV
CH50339,Arizona,F,Master,2522.256441,0,69,1,Corporate Auto,470.275242,Four-Door Car
GU41198,California,F,Bachelor,9536.338382,62421,80,2,Corporate Auto,384,Four-Door Car
CT96082,Oregon,F,Bachelor,4711.080198,13933,62,0,Corporate Auto,49.364254,Two-Door Car
KP26590,Nevada,F,Bachelor,3801.282266,40513,96,1,Personal Auto,151.589577,Four-Door Car
ZQ51896,Oregon,M,College,21159.30151,0,108,0,Special Auto,777.6,SUV
BI34286,Oregon,M,Master,6515.026481,47259,81,0,Corporate Auto,388.8,Four-Door Car
XJ97760,California,M,Master,4739.861234,35039,61,0,Personal Auto,254.308991,Four-Door Car
CO71128,California,F,College,21240.94357,0,190,0,Personal Auto,1368,Luxury SUV
SJ88799,Washington,M,High School or Below,3980.838735,92539,101,0,Personal Auto,707.408058,Four-Door Car
RC74014,Oregon,F,College,4990.343538,0,71,0,Special Auto,849.666647,Two-Door Car
CP66511,Oregon,M,High School or Below,2562.604728,92038,65,2,Personal Auto,178.408186,Two-Door Car
JG13893,Nevada,M,Bachelor,7355.349908,51789,61,0,Corporate Auto,435.835125,Two-Door Car
ER49844,Arizona,M,College,5041.447024,61972,64,2,Personal Auto,138.961963,Four-Door Car
AU91447,Oregon,M,Doctor,12731.95161,40870,105,0,Special Auto,504,SUV
SK58227,California,F,High School or Below,8879.790017,52583,113,0,Personal Auto,528.20086,SUV
HG23705,Arizona,F,Bachelor,2872.669164,79681,73,1,Personal Auto,9.160139,Four-Door Car
MV93555,Oregon,F,High School or Below,11058.22493,69792,137,0,Personal Auto,696.757797,SUV
VQ20924,Arizona,F,High School or Below,7138.167712,19794,93,0,Corporate Auto,603.077136,Two-Door Car
AR59416,Oregon,M,High School or Below,29037.47753,0,113,0,Personal Auto,542.4,SUV
DF65548,California,F,Master,8613.464627,26680,106,0,Personal Auto,508.8,Two-Door Car
PA28328,California,F,College,3861.486269,93272,95,0,Corporate Auto,281.110788,Four-Door Car
WY31530,Oregon,M,Doctor,2482.915577,0,68,0,Personal Auto,87.272319,Two-Door Car
LV89056,California,F,Bachelor,3133.018242,0,91,1,Personal Auto,655.2,Four-Door Car
KC49055,Oregon,M,Bachelor,7123.082388,21835,92,0,Personal Auto,621.617047,Two-Door Car
RA62150,Arizona,F,College,28435.64035,0,116,0,Personal Auto,899.63718,SUV
OY70124,Washington,F,Bachelor,12741.84754,73054,106,1,Personal Auto,419.365958,SUV
OT94107,Oregon,F,Bachelor,3176.865609,35551,81,1,Personal Auto,565.108501,Four-Door Car
CF27806,California,F,Bachelor,5470.060561,54507,138,0,Personal Auto,702.990032,SUV
EK50729,Oregon,M,Bachelor,4582.647706,0,67,0,Personal Auto,321.6,Four-Door Car
TF53472,Oregon,F,Bachelor,5350.214918,41336,68,0,Personal Auto,263.090605,Four-Door Car
PG50529,California,F,High School or Below,5580.916514,31972,70,0,Personal Auto,416.2618,Four-Door Car
QT46509,Oregon,M,College,7048.544758,20416,93,0,Personal Auto,446.4,Four-Door Car
LI72489,Nevada,M,Bachelor,15306.22493,46338,193,0,Corporate Auto,19.46445,SUV
MF74413,Oregon,M,High School or Below,9657.579498,0,131,0,Personal Auto,628.8,SUV
SI58884,California,M,College,3985.319833,17220,105,0,Personal Auto,504,SUV
KG53604,Oregon,M,College,9816.528302,37256,62,0,Personal Auto,128.969729,Four-Door Car
XB97091,Arizona,F,High School or Below,37243.63312,53602,115,0,Personal Auto,295.335363,Sports Car
JS12902,Oregon,F,High School or Below,4122.964632,24732,107,0,Corporate Auto,72.771554,Sports Car
LL14393,Oregon,M,High School or Below,2556.609217,23867,65,0,Personal Auto,312,Four-Door Car
UJ71101,California,M,High School or Below,17253.72944,0,124,0,Personal Auto,928.817071,Sports Car
ZY95807,California,M,Bachelor,36181.02892,0,180,0,Corporate Auto,864,Luxury SUV
GA72966,Oregon,F,Bachelor,8427.172486,46503,215,1,Personal Auto,1032,Luxury SUV
WS36101,Oregon,M,High School or Below,2348.028868,0,63,0,Personal Auto,453.6,Four-Door Car
GY88677,Oregon,F,Bachelor,23675.02939,46268,199,1,Personal Auto,842.000858,Sports Car
XT45580,Oregon,F,College,4089.463358,60759,104,0,Corporate Auto,499.2,SUV
RY23571,California,F,Bachelor,2483.67134,75615,65,5,Personal Auto,156.54837,Four-Door Car
NB82190,Oregon,M,College,5278.183759,73742,68,0,Personal Auto,27.210992,Two-Door Car
XG14438,Arizona,M,College,13727.79972,0,126,0,Personal Auto,604.8,SUV
TQ84956,California,M,High School or Below,10963.95723,55687,276,0,Corporate Auto,1324.8,Luxury SUV
FV58292,Oregon,M,Bachelor,5555.830205,74015,72,0,Personal Auto,471.443077,Four-Door Car
EF52334,Washington,M,Bachelor,3261.01744,0,93,0,Personal Auto,669.6,Four-Door Car
ZV17267,Oregon,F,Bachelor,11029.92619,37056,92,0,Personal Auto,441.6,Four-Door Car
RH71877,Arizona,F,College,4770.550911,12964,65,0,Personal Auto,362.774545,Two-Door Car
GS23406,California,F,High School or Below,2734.328157,30916,70,0,Personal Auto,21.143072,Four-Door Car
VZ66567,California,M,Bachelor,3748.14406,0,106,0,Personal Auto,508.8,SUV
VP57785,Oregon,F,College,4770.550911,12964,65,0,Personal Auto,362.774545,Two-Door Car
NS51605,Oregon,M,Master,8509.850887,26057,74,0,Personal Auto,523.888845,Four-Door Car
QV48556,Arizona,F,Master,5421.04863,29981,71,0,Corporate Auto,340.8,Two-Door Car
PR10005,Oregon,M,Bachelor,2916.41746,85210,74,0,Personal Auto,100.517679,Four-Door Car
IF80474,Washington,M,College,13363.52356,86653,111,0,Personal Auto,277.201278,Four-Door Car
NE73773,Oregon,M,High School or Below,3974.858481,0,113,0,Personal Auto,542.4,SUV
WM72573,California,M,College,14710.43268,22872,131,2,Personal Auto,754.845659,SUV
NX71501,California,F,Doctor,5936.344043,42889,74,0,Personal Auto,177.321283,Four-Door Car
LR79755,California,M,College,2862.180262,74034,72,0,Personal Auto,267.415871,Four-Door Car
KC26486,Arizona,F,Bachelor,8427.172486,46503,215,1,Personal Auto,1032,Luxury SUV
DY22077,Arizona,M,Bachelor,8622.835375,97361,73,0,Corporate Auto,350.4,Four-Door Car
UV54104,Oregon,M,Bachelor,2300.691547,25905,63,0,Personal Auto,302.4,Four-Door Car
SG66076,Arizona,M,Bachelor,10056.5083,16097,139,0,Personal Auto,1000.8,Sports Car
GW52309,Nevada,F,High School or Below,9118.148093,56446,114,0,Personal Auto,547.2,SUV
DC46965,Nevada,M,Master,5507.242176,11343,72,0,Personal Auto,154.750098,Four-Door Car
JK57654,California,M,Doctor,10972.06778,24164,137,0,Personal Auto,657.6,Sports Car
QO62792,Oregon,M,College,7840.165778,58414,210,2,Personal Auto,1008,Luxury SUV
XI56955,Washington,F,Bachelor,5504.139033,0,73,0,Personal Auto,350.4,Four-Door Car
NR99710,Arizona,F,High School or Below,4792.810444,24395,62,0,Personal Auto,357.109603,Two-Door Car
QH90382,Oregon,F,Master,4187.77657,52471,103,0,Personal Auto,163.955502,Two-Door Car
SI30451,Arizona,F,College,2718.375247,30009,68,0,Personal Auto,317.428826,Four-Door Car
UM39817,Oregon,F,Bachelor,8257.666512,23815,73,0,Personal Auto,424.330166,Four-Door Car
YG98004,Oregon,F,Master,12663.59666,27739,104,0,Corporate Auto,3.200851,Four-Door Car
KF80172,Nevada,M,College,2647.519741,37876,69,0,Personal Auto,300.056383,Four-Door Car
LD95617,California,M,Bachelor,4830.908873,0,72,0,Corporate Auto,345.6,Four-Door Car
YJ24476,Nevada,F,Bachelor,4558.428807,14665,61,0,Personal Auto,292.8,Four-Door Car
LM67096,Oregon,F,Bachelor,2127.92357,0,61,1,Corporate Auto,31.481852,Four-Door Car
FB21121,California,F,Bachelor,2546.866098,86595,63,0,Corporate Auto,445.621906,Two-Door Car
LW91009,Washington,M,College,4992.920887,24368,68,1,Personal Auto,326.4,Four-Door Car
RD28560,Washington,F,Bachelor,12741.84754,73054,106,1,Corporate Auto,419.365958,SUV
DD22139,Washington,F,College,7863.02773,0,72,0,Corporate Auto,732.352745,Two-Door Car
LN50415,Oregon,M,Bachelor,5131.360525,50994,128,0,Corporate Auto,346.387342,SUV
OP62891,Oregon,F,High School or Below,2275.401583,0,64,0,Personal Auto,460.8,Two-Door Car
JT47995,Arizona,F,College,60556.19213,0,204,0,Personal Auto,979.2,Luxury SUV
AG39150,Oregon,M,Bachelor,2356.074955,0,63,0,Personal Auto,302.4,Four-Door Car
QJ65440,California,F,Bachelor,28824.06193,0,87,1,Corporate Auto,626.4,Four-Door Car
IJ40048,California,M,Bachelor,4978.950257,28695,64,0,Corporate Auto,221.241837,Four-Door Car
PX86841,Arizona,F,College,6521.368813,72608,82,3,Special Auto,393.6,Four-Door Car
